Participant,Practice,Block,Trial,Property,Ratio,Size1,Answer,CompletionTime,size1Output,TaskCompletionTime
0,false,1,0,BarChart,0.73,0.6,78,194.0864,0.576,194086.4
0,false,1,1,BarChart,0.08,0.6,7,19.40866,0.582,19408.66
0,false,1,2,BarChart,0.28,0.6,16,9.666199,0.582,9666.188
0,false,1,3,BarChart,0.58,0.6,64,8.031128,0.612,8031.125
0,false,1,4,BarChart,0.43,1,30,22.38495,0.95,22384.94
0,false,1,5,BarChart,0.33,1,27,5.205566,0.9899999,5205.563
0,false,1,6,BarChart,0.73,1,77,8.18219,1.01,8182.188
0,false,1,7,BarChart,0.33,0.6,29,6.008301,0.612,6008.313
0,false,1,8,BarChart,0.38,0.6,26,4.759705,0.582,4759.75
0,false,1,9,BarChart,0.43,0.6,44,2.177185,0.606,2177.125
0,false,1,10,BarChart,0.83,0.6,36,3.652588,0.576,3652.625
0,false,1,11,BarChart,0.23,1,23,5.165405,1.01,5165.375
0,false,1,12,BarChart,0.93,1,95,10.24854,0.96,10248.56
0,false,1,13,BarChart,0.13,1,26,10.28149,0.9899999,10281.5
0,false,1,14,BarChart,0.18,0.6,17,8.835754,0.576,8835.75
0,false,1,15,BarChart,0.88,0.6,81,6.958679,0.606,6958.688
0,false,1,16,BarChart,0.38,1,30,4.530884,1.04,4530.875
0,false,1,17,BarChart,0.68,1,70,5.220093,0.95,5220.063
0,false,1,18,BarChart,0.48,1,30,4.049622,0.95,4049.625
0,false,1,19,BarChart,0.18,1,48,2.16748,0.95,2167.5
0,false,1,20,BarChart,0.78,1,48,1.630493,1.01,1630.5
0,false,1,21,BarChart,0.23,0.6,48,1.898315,0.624,1898.313
0,false,1,22,BarChart,0.53,1,43,2.306274,1.02,2306.25
0,false,1,23,BarChart,0.83,1,41,2.65863,1.01,2658.625
0,false,1,24,BarChart,0.48,0.6,38,2.765198,0.612,2765.25
0,false,1,25,BarChart,0.68,0.6,44,1.870728,0.588,1870.688
0,false,1,26,BarChart,0.53,0.6,46,1.663635,0.624,1663.625
0,false,1,27,BarChart,0.78,0.6,43,2.725891,0.594,2725.938
0,false,1,28,BarChart,0.13,0.6,39,3.562622,0.618,3562.625
0,false,1,29,BarChart,0.93,0.6,83,6.970154,0.594,6970.125
0,false,1,30,BarChart,0.63,0.6,37,3.418091,0.594,3418.125
0,false,1,31,BarChart,0.88,1,67,6.456116,0.95,6456.063
0,false,1,32,BarChart,0.58,1,29,4.307129,1,4307.125
0,false,1,33,BarChart,0.28,1,34,3.842102,0.97,3842.125
0,false,1,34,BarChart,0.63,1,30,4.130676,1.02,4130.688
0,false,1,35,BarChart,0.08,1,31,3.826965,0.97,3826.938
0,false,2,0,Length,0.88,1,74,39.22314,0.98,39223.19
0,false,2,1,Length,0.48,1,52,10.91803,1,10918
