Participant,Practice,Block,Trial,Property,Ratio,Answer,size1Output,headPosition,headRotation,eyeStimuliAngle,TaskCompletionTime
5,false,1,0,BarChart,0.93,90,0.9899999,-0.08945811;1.085655;0.3010028,0.5288695;0.1518695;0.01196388,0,11933.09
5,false,1,1,BarChart,0.43,42,1.04,-0.07535756;1.084749;0.2844762,0.544171;0.1826043;0.02430502,0,8220.875
5,false,1,2,BarChart,0.33,39,0.98,-0.08024752;1.086421;0.2847482,0.5403965;0.1796012;0.02850085,0,8087.156
5,false,1,3,BarChart,0.23,21,0.98,-0.057181;1.068712;0.2758307,0.5724311;0.2176456;-0.006493859,0,8712.344
5,false,1,4,BarChart,0.18,18,1.04,-0.07820547;1.067258;0.2870315,0.5997751;0.150704;0.06095942,0,29856.97
5,false,1,5,BarChart,0.13,14,1.01,-0.08283532;1.093395;0.277769,0.5588518;0.1687494;0.02877423,0,17938.75
5,false,1,6,BarChart,0.78,77,1.04,-0.08332062;1.097165;0.2692907,0.5479888;0.1955072;0.03017822,0,6467.375
5,false,1,7,BarChart,0.08,22,1.02,-0.07756078;1.09608;0.2680243,0.5594428;0.1945348;0.02318503,0,10041.63
5,false,1,8,BarChart,0.48,44,0.97,-0.1119591;1.095852;0.2593369,0.563635;0.1872333;0.05856683,0,41685.81
5,false,1,9,BarChart,0.83,70,1.02,-0.1272072;1.096683;0.2627097,0.5415624;0.1885739;0.07890388,0,8790.188
5,false,1,10,BarChart,0.88,85,0.97,-0.1268131;1.095552;0.2658864,0.54173;0.1847557;0.08001242,0,16051.41
5,false,1,11,BarChart,0.53,48,0.97,-0.1248802;1.094258;0.2680784,0.54497;0.1830652;0.07530029,0,5260.719
5,false,1,12,BarChart,0.38,43,1.03,0.04979324;1.130586;0.1384604,0.3606028;0.08365017;0.05895672,0,131647.1
5,false,1,13,BarChart,0.63,60,0.98,0.04966068;1.115779;0.1430831,0.3941999;0.02756241;-0.008691847,0,4022
5,false,1,14,BarChart,0.28,30,0.9899999,0.05567014;1.119784;0.1380972,0.3825089;0.03319718;-0.01811329,0,10688.94
5,false,1,15,BarChart,0.58,55,0.98,0.04792726;1.119111;0.1296293,0.3836595;0.01422411;-0.02056985,0,6926.25
5,false,1,16,BarChart,0.68,66,1.02,0.03460276;1.115039;0.1441288,0.3894849;-0.0193083;0.008846711,0,9303.375
5,false,1,17,BarChart,0.73,75,0.96,0.04124725;1.133278;0.1179632,0.337148;0.0187011;-0.01437557,0,9930.25
5,false,2,0,Length,0.88,93,0.9899999,0.04251993;1.126969;0.1271185,0.3493482;0.01808911;-0.03218101,0,13135.44
5,false,2,1,Length,0.63,60,1,0.04135787;1.117839;0.1304811,0.360983;0.02840857;-0.02858745,0,12085.69
5,false,2,2,Length,0.78,81,0.98,0.0445106;1.115977;0.1303584,0.3399966;0.04378375;-0.06346573,0,27354.69
5,false,2,3,Length,0.28,25,1.02,0.03709996;1.100299;0.1461508,0.3826708;0.02513694;-0.05699402,0,14531.81
5,false,2,4,Length,0.23,20,1.01,0.04466784;1.100965;0.157073,0.3840907;0.004426192;-0.05310303,0,12800.88
5,false,2,5,Length,0.18,12,1.01,0.04652393;1.105793;0.1458919,0.3679003;0.009548514;-0.05191425,0,11393.13
5,false,2,6,Length,0.93,92,1.03,0.04383564;1.111819;0.1352007,0.3641188;0.01237888;-0.03540427,0,11169.94
5,false,2,7,Length,0.08,5,0.95,0.0460248;1.108468;0.1376984,0.368616;0.01972919;-0.02917329,0,31040.69
5,false,2,8,Length,0.68,75,0.98,0.06439006;1.09384;0.1830889,0.3889658;0.03894125;-0.02695343,0,9796.125
5,false,2,9,Length,0.48,54,1.01,0.03123558;1.008605;0.4062204,0.702811;0.02516134;0.002072037,0,14721.63
5,false,2,10,Length,0.13,5,1.03,0.04239541;1.111731;0.1442202,0.3953572;0.02693177;-0.01580878,0,17860.5
5,false,2,11,Length,0.33,16,0.98,0.02846181;1.101123;0.159388,0.3881302;0.007035245;-0.005920677,0,17670.5
5,false,2,12,Length,0.38,45,1.01,0.04095727;1.102578;0.1483278,0.3904375;0.0128611;-0.01967526,0,6813.688
5,false,2,13,Length,0.53,45,0.98,0.04747272;1.073198;0.2311639,0.515801;-0.01663991;-0.02110182,0,11225.44
5,false,2,14,Length,0.73,70,1.02,0.0460676;1.118729;0.1520944,0.3561581;0.01446021;-0.0125678,0,8210
5,false,2,15,Length,0.43,45,0.9899999,0.0589056;1.063006;0.2534803,0.5356159;0.005289861;-0.00479568,0,26651.19
5,false,2,16,Length,0.58,54,0.9899999,0.02752757;0.9890088;0.3933251,0.7084059;0.01258975;-0.01448915,0,6581.688
5,false,2,17,Length,0.83,80,0.96,0.0372268;1.099475;0.1788456,0.4259919;0.01037586;-0.01521486,0,36687.75
