Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
4,true,0,0,0.78,2,horizontal,84,17.07714,171.5532,19916.14
4,false,1,0,0.68,0,horizontal,71,9.342005,77.54196,10253.76
4,false,1,1,0.58,0,horizontal,59,16.91975,81.79279,16922.18
4,false,1,2,0.18,1,horizontal,9,12.5224,165.0664,13169.33
4,false,1,3,0.58,1,horizontal,47,8.299477,164.9556,8310.402
4,false,1,4,0.18,2,horizontal,8,15.14583,171.4879,15146.36
4,false,1,5,0.18,0,horizontal,12,12.63742,78.90608,13213.81
4,false,1,6,0.28,0,horizontal,24,14.37971,80.79661,14386.73
4,false,1,7,0.78,1,horizontal,75,6.662178,165.1407,7238.023
4,false,1,8,0.68,2,horizontal,85,9.54567,171.5584,9550.156
4,false,1,9,0.78,0,horizontal,79,8.179962,82.79137,8656.516
4,false,1,10,0.38,2,horizontal,25,17.1618,171.5482,17659.61
4,false,1,11,0.68,1,horizontal,69,13.55536,165.1199,13560.23
4,false,1,12,0.88,2,horizontal,94,9.292877,171.5836,9293.063
4,false,1,13,0.28,1,horizontal,12,11.81061,165.1933,11817.73
4,false,1,14,0.48,1,horizontal,38,9.862411,165.3889,9862.922
4,false,1,15,0.38,0,horizontal,40,10.82178,81.77551,11381.59
4,false,1,16,0.88,1,horizontal,91,8.727112,164.7402,9371.984
4,false,1,17,0.58,2,horizontal,54,6.918854,171.5999,6925.094
4,false,1,18,0.78,2,horizontal,86,15.40002,171.6167,15403.39
4,false,1,19,0.48,0,horizontal,46,8.570068,80.88871,9114.484
4,false,1,20,0.38,1,horizontal,29,19.95496,165.0009,20396
4,false,1,21,0.28,2,horizontal,14,10.90112,171.66,10901.72
4,false,1,22,0.48,2,horizontal,32,10.41141,171.6764,10421.41
4,false,1,23,0.88,0,horizontal,89,11.88867,84.2136,12543.91
4,true,0,0,0.28,0,vertical,24,16.35236,94.5328,16352.59
4,false,2,0,0.18,2,vertical,19,11.47205,171.911,12164.13
4,false,2,1,0.38,0,vertical,35,10.46326,96.13595,11035.66
4,false,2,2,0.88,0,vertical,88,10.85333,94.5671,10856.75
4,false,2,3,0.48,0,vertical,43,6.051605,94.33271,6053.813
4,false,2,4,0.78,0,vertical,72,11.41165,94.28157,11415.59
4,false,2,5,0.68,0,vertical,58,9.338715,94.78214,9349.313
4,false,2,6,0.58,0,vertical,53,4.83078,94.0849,4836.531
4,false,2,7,0.58,2,vertical,54,10.90292,171.5495,11516.56
4,false,2,8,0.78,1,vertical,71,9.027924,165.6235,9036.094
4,false,2,9,0.48,2,vertical,42,4.618744,171.7143,4624.188
4,false,2,10,0.28,0,vertical,25,14.97925,94.60311,15760.5
4,false,2,11,0.48,1,vertical,45,6.215576,166.219,6825.219
4,false,2,12,0.28,2,vertical,29,10.03439,172.2753,10041
4,false,2,13,0.28,1,vertical,28,11.20474,166.8165,11214.81
4,false,2,14,0.18,0,vertical,18,14.1254,99.24162,14542.91
4,false,2,15,0.88,2,vertical,88,16.00137,171.9018,16575.94
4,false,2,16,0.68,2,vertical,61,8.423889,172.3455,8433.625
4,false,2,17,0.38,1,vertical,43,6.524597,166.7166,6534.063
4,false,2,18,0.58,1,vertical,56,8.390808,167.2443,8399.531
4,false,2,19,0.68,1,vertical,62,7.251465,167.5652,7260.688
4,false,2,20,0.18,1,vertical,22,6.965759,167.5376,6969.844
4,false,2,21,0.38,2,vertical,40,10.9588,172.6288,10959.75
4,false,2,22,0.78,2,vertical,66,7.093872,172.7988,7101.625
4,false,2,23,0.88,1,vertical,89,8.974792,167.5381,8981
