Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
1,false,1,0,0.28,1,vertical,24,11.1577,165.7718,11158.63
1,false,1,1,0.88,0,vertical,95,19.79099,92.57135,21144.4
1,false,1,2,0.68,1,vertical,71,13.65534,165.757,14386.57
1,false,1,3,0.68,2,vertical,72,12.07408,171.625,12074.3
1,false,1,4,0.88,1,vertical,92,12.42865,165.4024,12432.34
1,false,1,5,0.38,1,vertical,29,12.48307,165.3185,12487.76
1,false,1,6,0.68,0,vertical,81,17.00858,90.86885,18169.95
1,false,1,7,0.18,2,vertical,11,9.445969,171.6784,10737.39
1,false,1,8,0.28,2,vertical,18,9.015823,171.6123,9025.422
1,false,1,9,0.48,2,vertical,50,6.404984,171.5504,6411.375
1,false,1,10,0.38,0,vertical,42,15.99521,92.72961,17190.23
1,false,1,11,0.18,0,vertical,17,13.68968,92.36553,13694.47
1,false,1,12,0.48,1,vertical,50,5.197739,165.7386,5796.938
1,false,1,13,0.88,2,vertical,90,8.331055,171.6102,8333.313
1,false,1,14,0.18,1,vertical,10,11.94893,165.507,11951.22
1,false,1,15,0.78,2,vertical,84,6.639191,171.5702,6645.813
1,false,1,16,0.28,0,vertical,24,8.736984,93.78165,10108.91
1,false,1,17,0.58,0,vertical,62,11.03932,92.99902,11046.78
1,false,1,18,0.78,1,vertical,81,7.715607,165.763,8165.172
1,false,1,19,0.58,2,vertical,65,9.040878,171.6819,9047.5
1,false,1,20,0.58,1,vertical,64,7.614731,165.6825,7618.281
1,false,1,21,0.78,0,vertical,90,13.78052,93.85896,14721.34
1,false,1,22,0.48,0,vertical,49,5.688232,93.80201,5696.594
1,false,1,23,0.38,2,vertical,42,6.704773,171.5938,7172.125
1,false,2,0,0.28,0,horizontal,24,9.056274,82.8045,9918.125
1,false,2,1,0.18,2,horizontal,10,9.392456,171.4509,11047.28
1,false,2,2,0.38,0,horizontal,40,14.17117,81.86628,15000.97
1,false,2,3,0.78,2,horizontal,79,15.75638,170.9954,16251.84
1,false,2,4,0.48,1,horizontal,51,10.70139,164.3677,10711.69
1,false,2,5,0.18,0,horizontal,10,9.489288,81.97035,10376.78
1,false,2,6,0.58,2,horizontal,55,12.62726,171.3335,13537.97
1,false,2,7,0.88,0,horizontal,93,11.40283,81.36694,12208.94
1,false,2,8,0.18,1,horizontal,11,10.27002,164.7484,10611.63
1,false,2,9,0.78,0,horizontal,87,8.634125,79.51888,10197.41
1,false,2,10,0.68,0,horizontal,71,17.582,81.00373,17592.34
1,false,2,11,0.38,2,horizontal,27,12.14917,171.2265,12722.72
1,false,2,12,0.58,1,horizontal,71,9.029877,164.5135,9036.281
1,false,2,13,0.88,1,horizontal,96,10.85355,164.4792,10856.97
1,false,2,14,0.48,0,horizontal,47,4.29184,81.21592,5093.875
1,false,2,15,0.68,1,horizontal,85,12.99561,164.7765,13470.44
1,false,2,16,0.28,1,horizontal,11,11.33282,164.6027,11337.22
1,false,2,17,0.88,2,horizontal,100,14.45334,171.2891,14453.81
1,false,2,18,0.58,0,horizontal,52,7.431152,81.36372,8533.406
1,false,2,19,0.68,2,horizontal,88,13.08423,171.3481,14297.56
1,false,2,20,0.48,2,horizontal,46,7.166992,171.9487,7171.625
1,false,2,21,0.78,1,horizontal,91,16.97986,165.0037,16990.63
1,false,2,22,0.28,2,horizontal,12,10.14246,171.4872,10151.5
1,false,2,23,0.38,1,horizontal,26,10.55347,165.0089,10555.44
2,false,1,0,0.28,0,horizontal,30,6.299526,86.47353,6299.852
2,false,1,1,0.58,0,horizontal,60,4.6798,86.78502,4680.271
2,false,1,2,0.88,2,horizontal,100,11.30901,171.6729,11906.99
2,false,1,3,0.18,0,horizontal,15,8.870342,88.82487,9539.109
2,false,1,4,0.88,1,horizontal,90,11.94678,165.0414,12476.45
2,false,1,5,0.58,2,horizontal,50,8.335354,171.5256,8344.125
2,false,1,6,0.18,1,horizontal,10,9.64135,164.9288,9650.445
2,false,1,7,0.78,2,horizontal,90,11.7143,171.5121,11717.39
2,false,1,8,0.48,1,horizontal,40,5.185928,164.8931,5193.844
2,false,1,9,0.48,2,horizontal,40,4.922974,171.4605,4925.938
2,false,1,10,0.68,0,horizontal,70,8.607338,89.50716,9717.695
2,false,1,11,0.28,1,horizontal,25,7.650009,164.9321,8109.344
2,false,1,12,0.68,1,horizontal,75,8.00341,164.812,8008.961
2,false,1,13,0.38,0,horizontal,40,9.87352,88.7906,11258.99
2,false,1,14,0.88,0,horizontal,90,7.903595,83.92199,7907.859
2,false,1,15,0.68,2,horizontal,70,7.355911,171.2595,7796.766
2,false,1,16,0.78,1,horizontal,80,8.344131,164.6072,8354.891
2,false,1,17,0.28,2,horizontal,20,6.523163,171.3871,6523.469
2,false,1,18,0.48,0,horizontal,50,6.058731,88.91769,6813.344
2,false,1,19,0.78,0,horizontal,80,6.39241,85.28364,6400.344
2,false,1,20,0.18,2,horizontal,10,8.786362,171.2373,9382.828
2,false,1,21,0.38,2,horizontal,25,7.458679,171.2771,7461.219
2,false,1,22,0.38,1,horizontal,29,6.470444,164.6096,6478.438
2,false,1,23,0.58,1,horizontal,50,4.706558,164.615,4713.891
2,false,2,0,0.28,1,vertical,25,7.442856,165.4568,7450.375
2,false,2,1,0.28,0,vertical,25,7.565155,98.47708,8388.984
2,false,2,2,0.88,1,vertical,80,9.796722,165.4527,10309.33
2,false,2,3,0.28,2,vertical,25,6.96756,171.9815,6970.844
