participant,Practice,Block,taskNr,size1,size2,Position,orientation,method,estimateRatio-Percentage,time,ParticipantAngle,condition,totaltime,code
1,false,1,0,0.28,1.00,1,vertical,ratioPercentage,24,11.1577,165.7718,position1-vertical,11158.63,0.28
1,false,1,1,0.88,1.00,0,vertical,ratioPercentage,95,19.79099,92.57135,position0-vertical,21144.4,0.88
1,false,1,2,0.68,1.00,1,vertical,ratioPercentage,71,13.65534,165.757,position1-vertical,14386.57,0.68
1,false,1,3,0.68,1.00,2,vertical,ratioPercentage,72,12.07408,171.625,position2-vertical,12074.3,0.68
1,false,1,4,0.88,1.00,1,vertical,ratioPercentage,92,12.42865,165.4024,position1-vertical,12432.34,0.88
1,false,1,5,0.38,1.00,1,vertical,ratioPercentage,29,12.48307,165.3185,position1-vertical,12487.76,0.38
1,false,1,6,0.68,1.00,0,vertical,ratioPercentage,81,17.00858,90.86885,position0-vertical,18169.95,0.68
1,false,1,7,0.18,1.00,2,vertical,ratioPercentage,11,9.445969,171.6784,position2-vertical,10737.39,0.18
1,false,1,8,0.28,1.00,2,vertical,ratioPercentage,18,9.015823,171.6123,position2-vertical,9025.422,0.28
1,false,1,9,0.48,1.00,2,vertical,ratioPercentage,50,6.404984,171.5504,position2-vertical,6411.375,0.48
1,false,1,10,0.38,1.00,0,vertical,ratioPercentage,42,15.99521,92.72961,position0-vertical,17190.23,0.38
1,false,1,11,0.18,1.00,0,vertical,ratioPercentage,17,13.68968,92.36553,position0-vertical,13694.47,0.18
1,false,1,12,0.48,1.00,1,vertical,ratioPercentage,50,5.197739,165.7386,position1-vertical,5796.938,0.48
1,false,1,13,0.88,1.00,2,vertical,ratioPercentage,90,8.331055,171.6102,position2-vertical,8333.313,0.88
1,false,1,14,0.18,1.00,1,vertical,ratioPercentage,10,11.94893,165.507,position1-vertical,11951.22,0.18
1,false,1,15,0.78,1.00,2,vertical,ratioPercentage,84,6.639191,171.5702,position2-vertical,6645.813,0.78
1,false,1,16,0.28,1.00,0,vertical,ratioPercentage,24,8.736984,93.78165,position0-vertical,10108.91,0.28
1,false,1,17,0.58,1.00,0,vertical,ratioPercentage,62,11.03932,92.99902,position0-vertical,11046.78,0.58
1,false,1,18,0.78,1.00,1,vertical,ratioPercentage,81,7.715607,165.763,position1-vertical,8165.172,0.78
1,false,1,19,0.58,1.00,2,vertical,ratioPercentage,65,9.040878,171.6819,position2-vertical,9047.5,0.58
1,false,1,20,0.58,1.00,1,vertical,ratioPercentage,64,7.614731,165.6825,position1-vertical,7618.281,0.58
1,false,1,21,0.78,1.00,0,vertical,ratioPercentage,90,13.78052,93.85896,position0-vertical,14721.34,0.78
1,false,1,22,0.48,1.00,0,vertical,ratioPercentage,49,5.688232,93.80201,position0-vertical,5696.594,0.48
1,false,1,23,0.38,1.00,2,vertical,ratioPercentage,42,6.704773,171.5938,position2-vertical,7172.125,0.38
1,false,2,0,0.28,1.00,0,horizontal,ratioPercentage,24,9.056274,82.8045,position0-horizontal,9918.125,0.28
1,false,2,1,0.18,1.00,2,horizontal,ratioPercentage,10,9.392456,171.4509,position2-horizontal,11047.28,0.18
1,false,2,2,0.38,1.00,0,horizontal,ratioPercentage,40,14.17117,81.86628,position0-horizontal,15000.97,0.38
1,false,2,3,0.78,1.00,2,horizontal,ratioPercentage,79,15.75638,170.9954,position2-horizontal,16251.84,0.78
1,false,2,4,0.48,1.00,1,horizontal,ratioPercentage,51,10.70139,164.3677,position1-horizontal,10711.69,0.48
1,false,2,5,0.18,1.00,0,horizontal,ratioPercentage,10,9.489288,81.97035,position0-horizontal,10376.78,0.18
1,false,2,6,0.58,1.00,2,horizontal,ratioPercentage,55,12.62726,171.3335,position2-horizontal,13537.97,0.58
1,false,2,7,0.88,1.00,0,horizontal,ratioPercentage,93,11.40283,81.36694,position0-horizontal,12208.94,0.88
1,false,2,8,0.18,1.00,1,horizontal,ratioPercentage,11,10.27002,164.7484,position1-horizontal,10611.63,0.18
1,false,2,9,0.78,1.00,0,horizontal,ratioPercentage,87,8.634125,79.51888,position0-horizontal,10197.41,0.78
1,false,2,10,0.68,1.00,0,horizontal,ratioPercentage,71,17.582,81.00373,position0-horizontal,17592.34,0.68
1,false,2,11,0.38,1.00,2,horizontal,ratioPercentage,27,12.14917,171.2265,position2-horizontal,12722.72,0.38
1,false,2,12,0.58,1.00,1,horizontal,ratioPercentage,71,9.029877,164.5135,position1-horizontal,9036.281,0.58
