Participant,Practice,Block,Trial,Property,Ratio,Position,Orientation
0,false,1,0,BarChart,0.48,105,vertical
0,false,1,1,BarChart,0.28,105,horizontal
0,false,2,0,Area,0.88,165,horizontal
0,false,2,1,Area,0.88,105,horizontal
1,false,1,0,Area,0.88,105,vertical
1,false,1,1,Area,0.88,165,vertical
1,false,1,2,Area,0.78,105,vertical
1,false,1,3,Area,0.18,165,horizontal
1,false,1,4,Area,0.48,105,vertical
1,false,1,5,Area,0.68,105,vertical
1,false,1,6,Area,0.18,105,vertical
1,false,1,7,Area,0.88,105,horizontal
1,false,1,8,Area,0.28,135,vertical
1,false,1,9,Area,0.58,165,vertical
1,false,1,10,Area,0.28,165,horizontal
1,false,1,11,Area,0.88,135,horizontal
1,false,1,12,Area,0.58,135,vertical
1,false,1,13,Area,0.58,135,horizontal
1,false,1,14,Area,0.88,135,vertical
1,false,1,15,Area,0.18,135,horizontal
1,false,1,16,Area,0.78,165,horizontal
1,false,1,17,Area,0.38,135,horizontal
1,false,1,18,Area,0.48,165,vertical
1,false,1,19,Area,0.18,135,vertical
1,false,1,20,Area,0.68,105,horizontal
1,false,1,21,Area,0.18,165,vertical
1,false,1,22,Area,0.48,135,horizontal
1,false,1,23,Area,0.28,135,horizontal
1,false,1,24,Area,0.38,165,horizontal
1,false,1,25,Area,0.48,165,horizontal
1,false,1,26,Area,0.58,105,vertical
1,false,1,27,Area,0.68,165,vertical
1,false,1,28,Area,0.78,135,vertical
1,false,1,29,Area,0.28,165,vertical
1,false,1,30,Area,0.78,105,horizontal
1,false,1,31,Area,0.48,135,vertical
1,false,1,32,Area,0.38,105,horizontal
1,false,1,33,Area,0.68,165,horizontal
1,false,1,34,Area,0.18,105,horizontal
1,false,1,35,Area,0.38,135,vertical
1,false,1,36,Area,0.78,135,horizontal
1,false,1,37,Area,0.88,165,horizontal
1,false,1,38,Area,0.78,165,vertical
1,false,1,39,Area,0.28,105,horizontal
1,false,1,40,Area,0.48,105,horizontal
1,false,1,41,Area,0.38,165,vertical
1,false,1,42,Area,0.68,135,horizontal
1,false,1,43,Area,0.58,105,horizontal
1,false,1,44,Area,0.68,135,vertical
1,false,1,45,Area,0.58,165,horizontal
1,false,1,46,Area,0.28,105,vertical
1,false,1,47,Area,0.38,105,vertical
1,false,2,0,BarChart,0.38,165,horizontal
1,false,2,1,BarChart,0.38,165,vertical
1,false,2,2,BarChart,0.28,105,vertical
1,false,2,3,BarChart,0.88,135,vertical
1,false,2,4,BarChart,0.78,165,horizontal
1,false,2,5,BarChart,0.58,165,horizontal
1,false,2,6,BarChart,0.68,105,vertical
1,false,2,7,BarChart,0.28,165,horizontal
1,false,2,8,BarChart,0.18,165,horizontal
1,false,2,9,BarChart,0.88,135,horizontal
1,false,2,10,BarChart,0.28,135,vertical
1,false,2,11,BarChart,0.88,165,vertical
1,false,2,12,BarChart,0.48,165,vertical
1,false,2,13,BarChart,0.48,135,horizontal
1,false,2,14,BarChart,0.68,135,vertical
1,false,2,15,BarChart,0.58,105,vertical
1,false,2,16,BarChart,0.28,105,horizontal
1,false,2,17,BarChart,0.18,105,vertical
1,false,2,18,BarChart,0.68,105,horizontal
1,false,2,19,BarChart,0.48,135,vertical
1,false,2,20,BarChart,0.78,135,vertical
1,false,2,21,BarChart,0.68,165,vertical
1,false,2,22,BarChart,0.78,135,horizontal
1,false,2,23,BarChart,0.38,105,horizontal
1,false,2,24,BarChart,0.78,165,vertical
1,false,2,25,BarChart,0.58,105,horizontal
1,false,2,26,BarChart,0.28,135,horizontal
1,false,2,27,BarChart,0.18,165,vertical
1,false,2,28,BarChart,0.48,165,horizontal
1,false,2,29,BarChart,0.68,135,horizontal
1,false,2,30,BarChart,0.58,165,vertical
1,false,2,31,BarChart,0.38,135,vertical
1,false,2,32,BarChart,0.58,135,vertical
1,false,2,33,BarChart,0.28,165,vertical
1,false,2,34,BarChart,0.38,105,vertical
1,false,2,35,BarChart,0.18,135,vertical
1,false,2,36,BarChart,0.68,165,horizontal
1,false,2,37,BarChart,0.88,105,vertical
1,false,2,38,BarChart,0.88,105,horizontal
1,false,2,39,BarChart,0.88,165,horizontal
1,false,2,40,BarChart,0.78,105,vertical
1,false,2,41,BarChart,0.48,105,horizontal
1,false,2,42,BarChart,0.38,135,horizontal
1,false,2,43,BarChart,0.18,105,horizontal
1,false,2,44,BarChart,0.78,105,horizontal
1,false,2,45,BarChart,0.48,105,vertical
1,false,2,46,BarChart,0.58,135,horizontal
1,false,2,47,BarChart,0.18,135,horizontal
2,false,1,0,BarChart,0.38,135,vertical
2,false,1,1,BarChart,0.48,105,horizontal
2,false,1,2,BarChart,0.88,165,vertical
2,false,1,3,BarChart,0.78,105,vertical
2,false,1,4,BarChart,0.78,135,horizontal
2,false,1,5,BarChart,0.68,105,vertical
2,false,1,6,BarChart,0.58,105,vertical
2,false,1,7,BarChart,0.58,105,horizontal
2,false,1,8,BarChart,0.68,135,horizontal
2,false,1,9,BarChart,0.58,135,vertical
2,false,1,10,BarChart,0.38,135,horizontal
2,false,1,11,BarChart,0.58,165,vertical
2,false,1,12,BarChart,0.18,135,vertical
2,false,1,13,BarChart,0.18,135,horizontal
2,false,1,14,BarChart,0.18,105,vertical
2,false,1,15,BarChart,0.48,105,vertical
2,false,1,16,BarChart,0.48,165,vertical
2,false,1,17,BarChart,0.78,165,horizontal
2,false,1,18,BarChart,0.78,165,vertical
2,false,1,19,BarChart,0.38,105,vertical
2,false,1,20,BarChart,0.38,165,vertical
2,false,1,21,BarChart,0.88,135,horizontal
2,false,1,22,BarChart,0.28,135,horizontal
2,false,1,23,BarChart,0.48,135,vertical
2,false,1,24,BarChart,0.68,165,vertical
2,false,1,25,BarChart,0.38,165,horizontal
2,false,1,26,BarChart,0.28,165,vertical
2,false,1,27,BarChart,0.28,165,horizontal
2,false,1,28,BarChart,0.48,165,horizontal
2,false,1,29,BarChart,0.28,105,vertical
2,false,1,30,BarChart,0.68,105,horizontal
2,false,1,31,BarChart,0.78,135,vertical
2,false,1,32,BarChart,0.48,135,horizontal
2,false,1,33,BarChart,0.18,165,vertical
2,false,1,34,BarChart,0.58,165,horizontal
2,false,1,35,BarChart,0.28,135,vertical
2,false,1,36,BarChart,0.88,105,horizontal
2,false,1,37,BarChart,0.28,105,horizontal
2,false,1,38,BarChart,0.88,165,horizontal
2,false,1,39,BarChart,0.68,135,vertical
2,false,1,40,BarChart,0.88,105,vertical
2,false,1,41,BarChart,0.88,135,vertical
2,false,1,42,BarChart,0.58,135,horizontal
2,false,1,43,BarChart,0.78,105,horizontal
2,false,1,44,BarChart,0.68,165,horizontal
2,false,1,45,BarChart,0.38,105,horizontal
2,false,1,46,BarChart,0.18,165,horizontal
2,false,1,47,BarChart,0.18,105,horizontal
2,false,2,0,Area,0.48,105,vertical
2,false,2,1,Area,0.78,165,vertical
2,false,2,2,Area,0.58,135,horizontal
2,false,2,3,Area,0.38,105,horizontal
2,false,2,4,Area,0.18,165,vertical
2,false,2,5,Area,0.78,135,vertical
2,false,2,6,Area,0.28,135,vertical
2,false,2,7,Area,0.68,105,horizontal
2,false,2,8,Area,0.48,165,horizontal
2,false,2,9,Area,0.38,135,horizontal
2,false,2,10,Area,0.48,135,horizontal
2,false,2,11,Area,0.28,135,horizontal
2,false,2,12,Area,0.88,135,vertical
2,false,2,13,Area,0.58,105,vertical
2,false,2,14,Area,0.48,135,vertical
2,false,2,15,Area,0.38,165,horizontal
2,false,2,16,Area,0.58,165,horizontal
2,false,2,17,Area,0.78,165,horizontal
2,false,2,18,Area,0.58,135,vertical
2,false,2,19,Area,0.68,165,vertical
2,false,2,20,Area,0.88,165,horizontal
2,false,2,21,Area,0.88,135,horizontal
2,false,2,22,Area,0.68,135,vertical
2,false,2,23,Area,0.68,105,vertical
2,false,2,24,Area,0.18,105,vertical
2,false,2,25,Area,0.38,165,vertical
2,false,2,26,Area,0.68,165,horizontal
2,false,2,27,Area,0.28,165,horizontal
2,false,2,28,Area,0.18,135,vertical
2,false,2,29,Area,0.88,165,vertical
2,false,2,30,Area,0.28,165,vertical
2,false,2,31,Area,0.48,105,horizontal
2,false,2,32,Area,0.88,105,vertical
2,false,2,33,Area,0.18,105,horizontal
2,false,2,34,Area,0.38,135,vertical
2,false,2,35,Area,0.48,165,vertical
2,false,2,36,Area,0.28,105,horizontal
2,false,2,37,Area,0.68,135,horizontal
2,false,2,38,Area,0.58,165,vertical
2,false,2,39,Area,0.58,105,horizontal
2,false,2,40,Area,0.18,165,horizontal
2,false,2,41,Area,0.38,105,vertical
2,false,2,42,Area,0.88,105,horizontal
2,false,2,43,Area,0.28,105,vertical
2,false,2,44,Area,0.78,135,horizontal
2,false,2,45,Area,0.78,105,vertical
2,false,2,46,Area,0.18,135,horizontal
2,false,2,47,Area,0.78,105,horizontal
3,true,0,0,Area,0.48,165,vertical
3,true,0,1,Area,0.48,135,horizontal
3,false,1,0,Area,0.18,165,horizontal
3,false,1,1,Area,0.48,135,vertical
3,false,1,2,Area,0.58,165,vertical
3,false,1,3,Area,0.78,135,horizontal
3,false,1,4,Area,0.78,165,horizontal
3,false,1,5,Area,0.48,105,vertical
3,false,1,6,Area,0.68,165,horizontal
3,false,1,7,Area,0.68,105,horizontal
3,false,1,8,Area,0.38,165,horizontal
3,false,1,9,Area,0.48,135,horizontal
3,false,1,10,Area,0.28,165,vertical
3,false,1,11,Area,0.48,165,horizontal
3,false,1,12,Area,0.68,135,horizontal
3,false,1,13,Area,0.28,105,horizontal
3,false,1,14,Area,0.38,105,vertical
3,false,1,15,Area,0.88,165,horizontal
3,false,1,16,Area,0.78,105,horizontal
3,false,1,17,Area,0.18,105,horizontal
3,false,1,18,Area,0.38,135,horizontal
3,false,1,19,Area,0.78,105,vertical
3,false,1,20,Area,0.28,135,vertical
3,false,1,21,Area,0.18,105,vertical
3,false,1,22,Area,0.18,135,horizontal
3,false,1,23,Area,0.58,165,horizontal
3,false,1,24,Area,0.88,165,vertical
3,false,1,25,Area,0.28,135,horizontal
3,false,1,26,Area,0.58,105,vertical
3,false,1,27,Area,0.38,105,horizontal
3,false,1,28,Area,0.18,165,vertical
3,false,1,29,Area,0.88,135,horizontal
3,false,1,30,Area,0.68,135,vertical
3,false,1,31,Area,0.28,165,horizontal
3,false,1,32,Area,0.18,135,vertical
3,false,1,33,Area,0.38,165,vertical
3,false,1,34,Area,0.58,135,horizontal
3,false,1,35,Area,0.38,135,vertical
3,false,1,36,Area,0.88,135,vertical
3,false,1,37,Area,0.48,105,horizontal
3,false,1,38,Area,0.78,135,vertical
3,false,1,39,Area,0.88,105,vertical
3,false,1,40,Area,0.68,105,vertical
3,false,1,41,Area,0.68,165,vertical
3,false,1,42,Area,0.78,165,vertical
3,false,1,43,Area,0.58,135,vertical
3,false,1,44,Area,0.48,165,vertical
3,false,1,45,Area,0.58,105,horizontal
3,false,1,46,Area,0.28,105,vertical
3,false,1,47,Area,0.88,105,horizontal
3,true,0,0,BarChart,0.78,135,vertical
3,true,0,1,BarChart,0.18,165,horizontal
3,false,2,0,BarChart,0.58,105,horizontal
3,false,2,1,BarChart,0.88,105,vertical
3,false,2,2,BarChart,0.18,165,horizontal
3,false,2,3,BarChart,0.18,105,vertical
3,false,2,4,BarChart,0.28,105,horizontal
3,false,2,5,BarChart,0.78,135,horizontal
3,false,2,6,BarChart,0.68,105,horizontal
3,false,2,7,BarChart,0.48,135,vertical
3,false,2,8,BarChart,0.88,165,horizontal
3,false,2,9,BarChart,0.28,165,horizontal
3,false,2,10,BarChart,0.18,135,vertical
3,false,2,11,BarChart,0.88,105,horizontal
3,false,2,12,BarChart,0.38,105,vertical
3,false,2,13,BarChart,0.38,165,horizontal
3,false,2,14,BarChart,0.38,135,vertical
3,false,2,15,BarChart,0.48,165,horizontal
3,false,2,16,BarChart,0.18,105,horizontal
3,false,2,17,BarChart,0.48,135,horizontal
3,false,2,18,BarChart,0.88,135,horizontal
3,false,2,19,BarChart,0.58,135,vertical
3,false,2,20,BarChart,0.18,165,vertical
3,false,2,21,BarChart,0.78,105,vertical
3,false,2,22,BarChart,0.48,105,vertical
3,false,2,23,BarChart,0.38,105,horizontal
3,false,2,24,BarChart,0.78,135,vertical
3,false,2,25,BarChart,0.28,135,horizontal
3,false,2,26,BarChart,0.68,105,vertical
3,false,2,27,BarChart,0.48,105,horizontal
3,false,2,28,BarChart,0.28,165,vertical
3,false,2,29,BarChart,0.78,165,horizontal
3,false,2,30,BarChart,0.88,165,vertical
3,false,2,31,BarChart,0.68,165,vertical
3,false,2,32,BarChart,0.68,135,horizontal
3,false,2,33,BarChart,0.38,135,horizontal
3,false,2,34,BarChart,0.48,165,vertical
3,false,2,35,BarChart,0.78,105,horizontal
3,false,2,36,BarChart,0.38,165,vertical
3,false,2,37,BarChart,0.58,165,horizontal
3,false,2,38,BarChart,0.58,105,vertical
3,false,2,39,BarChart,0.68,165,horizontal
3,false,2,40,BarChart,0.58,135,horizontal
3,false,2,41,BarChart,0.18,135,horizontal
3,false,2,42,BarChart,0.68,135,vertical
3,false,2,43,BarChart,0.58,165,vertical
3,false,2,44,BarChart,0.88,135,vertical
3,false,2,45,BarChart,0.28,105,vertical
3,false,2,46,BarChart,0.28,135,vertical
3,false,2,47,BarChart,0.78,165,vertical
4,true,0,0,BarChart,0.48,105,vertical
4,true,0,1,BarChart,0.48,135,horizontal
4,false,1,0,BarChart,0.18,135,vertical
4,false,1,1,BarChart,0.78,105,vertical
4,false,1,2,BarChart,0.78,165,horizontal
4,false,1,3,BarChart,0.88,105,horizontal
4,false,1,4,BarChart,0.68,135,horizontal
4,false,1,5,BarChart,0.38,165,horizontal
4,false,1,6,BarChart,0.68,165,vertical
4,false,1,7,BarChart,0.38,135,vertical
4,false,1,8,BarChart,0.48,135,vertical
4,false,1,9,BarChart,0.68,105,horizontal
4,false,1,10,BarChart,0.18,105,horizontal
4,false,1,11,BarChart,0.28,135,horizontal
4,false,1,12,BarChart,0.88,135,vertical
4,false,1,13,BarChart,0.48,135,horizontal
4,false,1,14,BarChart,0.18,135,horizontal
4,false,1,15,BarChart,0.78,105,horizontal
4,false,1,16,BarChart,0.28,135,vertical
4,false,1,17,BarChart,0.38,135,horizontal
4,false,1,18,BarChart,0.28,105,horizontal
4,false,1,19,BarChart,0.28,105,vertical
4,false,1,20,BarChart,0.58,135,horizontal
4,false,1,21,BarChart,0.48,105,vertical
4,false,1,22,BarChart,0.58,105,vertical
4,false,1,23,BarChart,0.88,135,horizontal
4,false,1,24,BarChart,0.18,165,horizontal
4,false,1,25,BarChart,0.58,165,horizontal
4,false,1,26,BarChart,0.58,135,vertical
4,false,1,27,BarChart,0.38,165,vertical
4,false,1,28,BarChart,0.88,165,horizontal
4,false,1,29,BarChart,0.48,105,horizontal
4,false,1,30,BarChart,0.68,165,horizontal
4,false,1,31,BarChart,0.18,165,vertical
4,false,1,32,BarChart,0.68,135,vertical
4,false,1,33,BarChart,0.48,165,horizontal
4,false,1,34,BarChart,0.78,135,horizontal
4,false,1,35,BarChart,0.58,165,vertical
4,false,1,36,BarChart,0.28,165,vertical
4,false,1,37,BarChart,0.28,165,horizontal
4,false,1,38,BarChart,0.38,105,horizontal
4,false,1,39,BarChart,0.68,105,vertical
4,false,1,40,BarChart,0.38,105,vertical
4,false,1,41,BarChart,0.18,105,vertical
4,false,1,42,BarChart,0.78,135,vertical
4,false,1,43,BarChart,0.88,165,vertical
4,false,1,44,BarChart,0.88,105,vertical
4,false,1,45,BarChart,0.58,105,horizontal
4,false,1,46,BarChart,0.78,165,vertical
4,false,1,47,BarChart,0.48,165,vertical
4,true,0,0,Area,0.88,165,vertical
4,true,0,1,Area,0.58,105,vertical
4,false,2,0,Area,0.58,165,vertical
4,false,2,1,Area,0.78,105,horizontal
4,false,2,2,Area,0.68,165,vertical
4,false,2,3,Area,0.78,165,vertical
4,false,2,4,Area,0.88,135,horizontal
4,false,2,5,Area,0.48,135,horizontal
4,false,2,6,Area,0.38,165,vertical
4,false,2,7,Area,0.38,105,vertical
4,false,2,8,Area,0.28,105,vertical
4,false,2,9,Area,0.78,165,horizontal
4,false,2,10,Area,0.38,135,horizontal
4,false,2,11,Area,0.78,105,vertical
4,false,2,12,Area,0.38,165,horizontal
4,false,2,13,Area,0.28,105,horizontal
4,false,2,14,Area,0.18,165,vertical
4,false,2,15,Area,0.18,165,horizontal
4,false,2,16,Area,0.58,135,vertical
4,false,2,17,Area,0.28,165,horizontal
4,false,2,18,Area,0.18,135,vertical
4,false,2,19,Area,0.58,105,horizontal
4,false,2,20,Area,0.88,105,vertical
4,false,2,21,Area,0.88,165,horizontal
4,false,2,22,Area,0.48,165,vertical
4,false,2,23,Area,0.88,165,vertical
4,false,2,24,Area,0.88,105,horizontal
4,false,2,25,Area,0.18,105,horizontal
4,false,2,26,Area,0.48,165,horizontal
4,false,2,27,Area,0.28,135,vertical
4,false,2,28,Area,0.48,135,vertical
4,false,2,29,Area,0.68,105,vertical
4,false,2,30,Area,0.18,135,horizontal
4,false,2,31,Area,0.78,135,vertical
4,false,2,32,Area,0.68,165,horizontal
4,false,2,33,Area,0.18,105,vertical
4,false,2,34,Area,0.68,105,horizontal
4,false,2,35,Area,0.88,135,vertical
4,false,2,36,Area,0.68,135,horizontal
4,false,2,37,Area,0.48,105,vertical
4,false,2,38,Area,0.78,135,horizontal
4,false,2,39,Area,0.58,135,horizontal
4,false,2,40,Area,0.28,165,vertical
4,false,2,41,Area,0.68,135,vertical
4,false,2,42,Area,0.38,135,vertical
4,false,2,43,Area,0.58,165,horizontal
4,false,2,44,Area,0.38,105,horizontal
4,false,2,45,Area,0.48,105,horizontal
4,false,2,46,Area,0.28,135,horizontal
4,false,2,47,Area,0.58,105,vertical
5,true,0,0,Area,0.28,105,vertical
5,true,0,1,Area,0.58,135,horizontal
5,false,1,0,Area,0.38,105,horizontal
5,false,1,1,Area,0.28,165,vertical
5,false,1,2,Area,0.18,165,vertical
5,false,1,3,Area,0.78,135,vertical
5,false,1,4,Area,0.58,165,horizontal
5,false,1,5,Area,0.88,165,vertical
5,false,1,6,Area,0.58,135,horizontal
5,false,1,7,Area,0.38,135,horizontal
5,false,1,8,Area,0.68,105,horizontal
5,false,1,9,Area,0.48,165,horizontal
5,false,1,10,Area,0.78,135,horizontal
5,false,1,11,Area,0.48,105,horizontal
5,false,1,12,Area,0.58,135,vertical
5,false,1,13,Area,0.88,165,horizontal
5,false,1,14,Area,0.88,105,vertical
5,false,1,15,Area,0.58,165,vertical
5,false,1,16,Area,0.18,135,horizontal
5,false,1,17,Area,0.18,105,vertical
5,false,1,18,Area,0.58,105,horizontal
5,false,1,19,Area,0.38,165,horizontal
5,false,1,20,Area,0.68,165,horizontal
5,false,1,21,Area,0.78,165,horizontal
5,false,1,22,Area,0.68,165,vertical
5,false,1,23,Area,0.48,135,horizontal
5,false,1,24,Area,0.68,135,horizontal
5,false,1,25,Area,0.18,135,vertical
5,false,1,26,Area,0.28,105,vertical
5,false,1,27,Area,0.38,165,vertical
5,false,1,28,Area,0.68,105,vertical
5,false,1,29,Area,0.38,105,vertical
5,false,1,30,Area,0.48,135,vertical
5,false,1,31,Area,0.18,165,horizontal
5,false,1,32,Area,0.18,105,horizontal
5,false,1,33,Area,0.58,105,vertical
5,false,1,34,Area,0.78,105,vertical
5,false,1,35,Area,0.28,135,horizontal
5,false,1,36,Area,0.28,105,horizontal
5,false,1,37,Area,0.88,105,horizontal
5,false,1,38,Area,0.28,135,vertical
5,false,1,39,Area,0.48,105,vertical
5,false,1,40,Area,0.48,165,vertical
5,false,1,41,Area,0.28,165,horizontal
5,false,1,42,Area,0.88,135,horizontal
5,false,1,43,Area,0.38,135,vertical
5,false,1,44,Area,0.88,135,vertical
5,false,1,45,Area,0.78,165,vertical
5,false,1,46,Area,0.78,105,horizontal
5,false,1,47,Area,0.68,135,vertical
5,true,0,0,BarChart,0.38,105,horizontal
5,true,0,1,BarChart,0.28,135,vertical
5,false,2,0,BarChart,0.18,105,horizontal
5,false,2,1,BarChart,0.68,105,horizontal
5,false,2,2,BarChart,0.58,165,horizontal
5,false,2,3,BarChart,0.38,135,horizontal
5,false,2,4,BarChart,0.28,165,vertical
5,false,2,5,BarChart,0.68,105,vertical
5,false,2,6,BarChart,0.48,165,horizontal
5,false,2,7,BarChart,0.58,105,vertical
5,false,2,8,BarChart,0.78,135,vertical
5,false,2,9,BarChart,0.38,105,horizontal
5,false,2,10,BarChart,0.88,105,vertical
5,false,2,11,BarChart,0.18,135,vertical
5,false,2,12,BarChart,0.78,165,horizontal
5,false,2,13,BarChart,0.28,105,vertical
5,false,2,14,BarChart,0.88,165,vertical
5,false,2,15,BarChart,0.78,105,horizontal
5,false,2,16,BarChart,0.48,135,vertical
5,false,2,17,BarChart,0.28,135,horizontal
5,false,2,18,BarChart,0.38,165,horizontal
5,false,2,19,BarChart,0.78,105,vertical
5,false,2,20,BarChart,0.88,135,horizontal
5,false,2,21,BarChart,0.18,165,vertical
5,false,2,22,BarChart,0.48,135,horizontal
5,false,2,23,BarChart,0.88,105,horizontal
5,false,2,24,BarChart,0.48,165,vertical
5,false,2,25,BarChart,0.68,165,vertical
5,false,2,26,BarChart,0.38,165,vertical
5,false,2,27,BarChart,0.68,135,horizontal
5,false,2,28,BarChart,0.58,105,horizontal
5,false,2,29,BarChart,0.18,165,horizontal
5,false,2,30,BarChart,0.18,135,horizontal
5,false,2,31,BarChart,0.28,135,vertical
5,false,2,32,BarChart,0.88,165,horizontal
5,false,2,33,BarChart,0.58,135,vertical
5,false,2,34,BarChart,0.18,105,vertical
5,false,2,35,BarChart,0.58,165,vertical
5,false,2,36,BarChart,0.38,135,vertical
5,false,2,37,BarChart,0.68,135,vertical
5,false,2,38,BarChart,0.78,135,horizontal
5,false,2,39,BarChart,0.88,135,vertical
5,false,2,40,BarChart,0.28,105,horizontal
5,false,2,41,BarChart,0.58,135,horizontal
5,false,2,42,BarChart,0.48,105,vertical
5,false,2,43,BarChart,0.28,165,horizontal
5,false,2,44,BarChart,0.48,105,horizontal
5,false,2,45,BarChart,0.68,165,horizontal
5,false,2,46,BarChart,0.38,105,vertical
5,false,2,47,BarChart,0.78,165,vertical
6,true,0,0,BarChart,0.78,165,vertical
6,true,0,1,BarChart,0.18,165,horizontal
6,false,1,0,BarChart,0.78,105,horizontal
6,false,1,1,BarChart,0.58,135,horizontal
6,false,1,2,BarChart,0.88,105,vertical
6,false,1,3,BarChart,0.48,135,vertical
6,false,1,4,BarChart,0.28,135,horizontal
6,false,1,5,BarChart,0.68,165,vertical
6,false,1,6,BarChart,0.88,135,vertical
6,false,1,7,BarChart,0.78,105,vertical
6,false,1,8,BarChart,0.28,105,vertical
6,false,1,9,BarChart,0.18,135,horizontal
6,false,1,10,BarChart,0.38,165,vertical
6,false,1,11,BarChart,0.78,135,vertical
6,false,1,12,BarChart,0.58,165,vertical
6,false,1,13,BarChart,0.68,135,horizontal
6,false,1,14,BarChart,0.48,105,horizontal
6,false,1,15,BarChart,0.18,135,vertical
6,false,1,16,BarChart,0.68,105,horizontal
6,false,1,17,BarChart,0.28,135,vertical
6,false,1,18,BarChart,0.38,165,horizontal
6,false,1,19,BarChart,0.88,165,horizontal
6,false,1,20,BarChart,0.88,105,horizontal
6,false,1,21,BarChart,0.88,135,horizontal
6,false,1,22,BarChart,0.68,105,vertical
6,false,1,23,BarChart,0.78,165,vertical
6,false,1,24,BarChart,0.18,165,vertical
6,false,1,25,BarChart,0.68,135,vertical
6,false,1,26,BarChart,0.58,105,vertical
6,false,1,27,BarChart,0.38,105,vertical
6,false,1,28,BarChart,0.28,105,horizontal
6,false,1,29,BarChart,0.68,165,horizontal
6,false,1,30,BarChart,0.38,105,horizontal
6,false,1,31,BarChart,0.58,135,vertical
6,false,1,32,BarChart,0.38,135,horizontal
6,false,1,33,BarChart,0.58,105,horizontal
6,false,1,34,BarChart,0.18,105,horizontal
6,false,1,35,BarChart,0.28,165,vertical
6,false,1,36,BarChart,0.18,165,horizontal
6,false,1,37,BarChart,0.38,135,vertical
6,false,1,38,BarChart,0.78,135,horizontal
6,false,1,39,BarChart,0.48,105,vertical
6,false,1,40,BarChart,0.18,105,vertical
6,false,1,41,BarChart,0.78,165,horizontal
6,false,1,42,BarChart,0.48,165,vertical
6,false,1,43,BarChart,0.48,135,horizontal
6,false,1,44,BarChart,0.58,165,horizontal
6,false,1,45,BarChart,0.28,165,horizontal
6,false,1,46,BarChart,0.88,165,vertical
6,false,1,47,BarChart,0.48,165,horizontal
6,true,0,0,Area,0.28,135,vertical
6,true,0,1,Area,0.58,165,vertical
6,false,2,0,Area,0.28,135,horizontal
6,false,2,1,Area,0.68,105,horizontal
6,false,2,2,Area,0.38,135,horizontal
6,false,2,3,Area,0.38,165,vertical
6,false,2,4,Area,0.28,165,vertical
6,false,2,5,Area,0.68,165,horizontal
6,false,2,6,Area,0.48,165,vertical
6,false,2,7,Area,0.18,135,vertical
6,false,2,8,Area,0.88,105,vertical
6,false,2,9,Area,0.58,135,vertical
6,false,2,10,Area,0.38,135,vertical
6,false,2,11,Area,0.58,105,horizontal
6,false,2,12,Area,0.78,165,horizontal
6,false,2,13,Area,0.48,105,horizontal
6,false,2,14,Area,0.58,165,horizontal
6,false,2,15,Area,0.88,105,horizontal
6,false,2,16,Area,0.38,105,vertical
6,false,2,17,Area,0.68,165,vertical
6,false,2,18,Area,0.48,105,vertical
6,false,2,19,Area,0.18,105,horizontal
6,false,2,20,Area,0.78,105,vertical
6,false,2,21,Area,0.38,165,horizontal
6,false,2,22,Area,0.78,135,horizontal
6,false,2,23,Area,0.78,135,vertical
6,false,2,24,Area,0.78,165,vertical
6,false,2,25,Area,0.28,105,horizontal
