participant,Block,method,taskNr,condition,code,estimateRatio-Percentage,size1,size2,headPosition,headRotation,time
1,1,ratioPercentage,0,Area,0.73,42,0.70080000000,0.96,0.008984327;1.095092;0.04885918,0.2492249;0.01678222;0.003783813,14129.87
1,1,ratioPercentage,1,Area,0.53,35,0.55120000000,1.04,0.0139454;1.09071;0.04680294,0.2639098;0.02703681;0.001779441,12856.79
1,1,ratioPercentage,2,Area,0.38,20,0.36860000000,0.97,0.01335204;1.089734;0.04462624,0.2692672;0.02100799;0.0003763648,10991.04
1,1,ratioPercentage,3,Area,0.43,25,0.44720000000,1.04,0.01627624;1.091485;0.04495931,0.2620445;0.0280325;-0.002966532,10086.19
1,1,ratioPercentage,4,Area,0.93,94,0.96720000000,1.04,0.01603556;1.093731;0.04344475,0.2551726;0.02739359;-0.002586373,13336.73
1,1,ratioPercentage,5,Area,0.48,34,0.48000000000,1,0.01513302;1.094942;0.04329842,0.2518634;0.02595746;-0.001897376,6925.273
1,1,ratioPercentage,6,Area,0.33,11,0.31350000000,0.95,0.01498568;1.094978;0.04311317,0.2516906;0.02576619;-0.0007489585,9505.367
1,1,ratioPercentage,7,Area,0.28,9,0.28840000000,1.03,0.0130465;1.097105;0.04158145,0.2422696;0.01904792;0.00386261,11918.34
1,1,ratioPercentage,8,Area,0.68,45,0.70720000000,1.04,0.01343131;1.098351;0.04151624,0.2397343;0.0169652;0.003335141,19558.25
1,1,ratioPercentage,9,Area,0.88,97,0.85360000000,0.97,0.01388162;1.095888;0.04217732,0.2458615;0.019706;0.001036318,11683.63
1,1,ratioPercentage,10,Area,0.63,21,0.61740000000,0.98,0.01365697;1.09676;0.04212725,0.2433319;0.01857549;0.001772247,8031.313
1,1,ratioPercentage,11,Area,0.23,5,0.21850000000,0.95,0.01332837;1.100378;0.04007995,0.2319606;0.01899834;0.003119039,10767.91
1,1,ratioPercentage,12,Area,0.58,17,0.57419994200,0.9899999,0.01382977;1.100933;0.03832722,0.2317444;0.0180742;0.0008720151,7360.266
1,1,ratioPercentage,13,Area,0.83,96,0.83000000000,1,0.01372772;1.095317;0.03747571,0.2515069;0.01726291;0.005397385,10924.63
1,1,ratioPercentage,14,Area,0.13,5,0.13520000000,1.04,0.01417488;1.101681;0.0368259,0.2305764;0.01537426;0.003441636,8991.453
1,1,ratioPercentage,15,Area,0.78,88,0.77219992200,0.9899999,0.01496148;1.100153;0.03741145,0.2342752;0.01532555;0.002151754,15168.33
1,1,ratioPercentage,16,Area,0.08,2,0.08000000000,1,0.01431614;1.099657;0.03889883,0.235672;0.01463951;0.00259348,8634.516
1,1,ratioPercentage,17,Area,0.18,6,0.18720000000,1.04,0.0160358;1.099291;0.03754127,0.2365751;0.01926133;-0.001837535,12800.39
1,2,ratioPercentage,0,BarChart,0.48,46,0.48960000000,1.02,0.01338601;1.08862;0.03986657,0.2704113;0.009030655;0.005983087,4948.219
1,2,ratioPercentage,1,BarChart,0.53,51,0.53000000000,1,0.01227343;1.093512;0.03875446,0.2543128;0.008916742;0.005034921,9092.344
